Date,Time,Location,Chairperson,Vice Chair,Commissioners Present,Commissioners Absent,Meeting Topic,Approval Status,Vote
2017-07-20,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,"Barbara J. Jordan; Jean Monestime; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Esteban L. Bovo, Jr.","Audrey M. Edmonson; Sally A. Heyman; Jose ""Pepe"" Diaz","THE APPLICANTS SEEK APPROVAL TO MODIFY A PREVIOUSLY APPROVED CHARTER SCHOOL IN ORDER TO INCREASE THE NUMBER OF STUDENTS FROM 1,800 TO 2,100 STUDENTS WITH NEW ARRIVAL AND DISMISSAL TIMES, NEW BUILDINGS AND ADDITIONAL PARKING SPACES ON THE SUBJECT SITE  --",Approved,9
2017-10-19,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,"Barbara J. Jordan; Audrey M. Edmonson; Sally A. Heyman; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Esteban L. Bovo, Jr.","Jean Monestime; Bruno A. Barreiro; Jose ""Pepe"" Diaz","THE APPLICANTS SEEK TO MODIFY A CONDITION OF A PREVIOUSLY APPROVED RESOLUTION ALONG WITH A PARAGRAPH OF THE ACCOMPANYING DECLARATION OF RESTRICTIONS IN ORDER TO SUBMIT REVISED PLANS, WHICH SHOW THE LOCATION OF A PROPOSED GARAGE BUILDING ADDITION, AND TO SHOW THE RELOCATION OF THE TEMPORARY HELIPAD WITHIN THE PROPERTY  --",Approved,9
2017-11-09,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,None,"Barbara J. Jordan; Jean Monestime; Audrey M. Edmonson; Sally A. Heyman; Bruno A. Barreiro; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz; Esteban L. Bovo, Jr.","THIS APPLICATION IS TO MODIFY THE LAND USE REGULATING PLAN OF THE NCUAD FOR THE SUBJECT PROPERTY FROM MM, MIXED-USE MAIN STREET AND MC, MIXED-USE CORRIDOR TO MCS, MIXED-USE CORRIDOR SPECIAL.  --",Deferred,Unknown
2017-12-07,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,"Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz; Esteban L. Bovo, Jr.",Barbara J. Jordan; Jean Monestime; Audrey M. Edmonson; Sally A. Heyman; Bruno A. Barreiro; Rebeca Sosa,"THE APPLICANT IS SEEKING TO PERMIT THE PREVIOUSLY APPROVED PRIVATE SCHOOL WITH ACCESSORY USES AND STRUCTURES, TO WIT: THE TENNIS PAVILION AND TENNIS COURTS SETBACK CLOSER THAN PERMITTED TO PROPERTY LINES.   --",Approved,7
2018-01-25,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,None,"Barbara J. Jordan; Jean Monestime; Audrey M. Edmonson; Sally A. Heyman; Bruno A. Barreiro; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz; Esteban L. Bovo, Jr.","THE APPLICANTS SEEK TO MODIFY A PREVIOUSLY APPROVED DEVELOPMENT ORDER (DO) FOR THE DEVELOPMENT OF REGIONAL IMPACT (DRI) TO REDUCE THE ACREAGE AND TO ALLOW FOR A SIMULTANEOUS DECREASE AND ADDITION OF NEW USES FOR THE DRI DEVELOPMENT PROGRAM, AND TO EXTEND THE BUILD-OUT DATE OF THE PROJECT. PURSUANT TO SECTION 380.06(19)(E)5, FLORIDA STATUTES, SAID CHANGES CONSTITUTE A SUBSTANTIAL DEVIATION FROM THE DO, WHICH MAY BE OVERCOME BY CLEAR AND CONVINCING EVIDENCE TO THE CONTRARY. IN ADDITION, THE APPLICANTS ALSO SEEK TO REZONE A 62-ACRE PARCEL WITHIN THE DRI PROPERTY FROM IU-2 TO BU-2.  --",Deferred,Unknown
2018-02-22,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,Barbara J. Jordan; Jean Monestime; Audrey M. Edmonson; Sally A. Heyman; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Sen. Javier D. Souto; Joe A. Martinez,"Dennis C. Moss; Jose ""Pepe"" Diaz; Esteban L. Bovo, Jr.","THE APPLICANTS SEEK TO MODIFY A PREVIOUSLY APPROVED DEVELOPMENT ORDER (DO) FOR THE DEVELOPMENT OF REGIONAL IMPACT (DRI) TO ALLOW FOR A SIMULTANEOUS DECREASE AND ADDITION OF NEW USES FOR THE DRI DEVELOPMENT PROGRAM, AND TO EXTEND THE BUILD-OUT DATE OF THE PROJECT. IN ADDITION, THE APPLICANTS ALSO SEEK TO REZONE A 62-ACRE PARCEL WITHIN THE DRI PROPERTY FROM IU-2 TO BU-2.  --",Approved,8
2018-04-26,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,"Barbara J. Jordan; Jean Monestime; Audrey M. Edmonson; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Esteban L. Bovo, Jr.","Sally A. Heyman; District 5-Vacant; Jose ""Pepe"" Diaz","THE APPLICANTS SEEK TO MODIFY A PREVIOUSLY APPROVED DEVELOPMENT ORDER (DO) FOR THE DEVELOPMENT OF REGIONAL IMPACT (DRI) TO ALLOW FOR A SIMULTANEOUS DECREASE AND ADDITION OF NEW USES FOR THE DRI DEVELOPMENT PROGRAM, AND TO EXTEND THE BUILD-OUT DATE OF THE PROJECT. IN ADDITION, THE APPLICANTS ALSO SEEK TO REZONE A 62-ACRE PARCEL WITHIN THE DRI PROPERTY FROM IU-2 TO BU-2.  --",Approved,9
2018-05-03,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,"Jean Monestime; Audrey M. Edmonson; Sally A. Heyman; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Joe A. Martinez; Jose ""Pepe"" Diaz; Esteban L. Bovo, Jr.",Barbara J. Jordan; District 5-Vacant; Dennis C. Moss; Sen. Javier D. Souto,"THE SUBJECT PROPERTY CONSISTS OF TWO PARCELS -  PARCEL A AND PARCEL B. THE APPLICANT SEEKS TO OBTAIN A DISTRICT BOUNDARY CHANGE FROM RU-3B TO NCUAD ON PARCEL B, AMEND THE LAND USE, DENSITY, HEIGHT, SUB-DISTRICT AND STREET TYPES REGULATING PLANS IN THE NCUAD FOR PARCEL B AND REDESIGNATE THE LAND USE REGULATING PLAN FOR PARCEL A LOCATED IN THE NORTH CENTRAL URBAN AREA DISTRICT (NCUAD).  --",Approved,8
2018-05-31,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,Jean Monestime; Audrey M. Edmonson; Sally A. Heyman; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto,"District 5-Vacant; Joe A. Martinez; Jose ""Pepe"" Diaz","THE APPLICANTS SEEK TO MODIFY A PREVIOUSLY APPROVED DEVELOPMENT ORDER (DO) FOR THE DEVELOPMENT OF REGIONAL IMPACT (DRI) TO ALLOW FOR A SIMULTANEOUS DECREASE AND ADDITION OF NEW USES FOR THE DRI DEVELOPMENT PROGRAM, AND TO EXTEND THE BUILD-OUT DATE OF THE PROJECT. IN ADDITION, THE APPLICANTS ALSO SEEK TO REZONE A 62-ACRE PARCEL WITHIN THE DRI PROPERTY FROM IU-2 TO BU-2.  --",Approved,8
2018-06-21,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,"Jean Monestime; Sally A. Heyman; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Esteban L. Bovo, Jr.","Barbara J. Jordan; Audrey M. Edmonson; District 5-Vacant; Jose ""Pepe"" Diaz","THIS APPLICATION IS TO AMEND THE LAND USE REGULATING PLAN OF THE NCUAD FOR THE SUBJECT PROPERTY FROM MC, MIXED-USE CORRIDOR TO MCS, MIXED-USE CORRIDOR SPECIAL.  --",Approved,9
